Frame,X,Y,Z
1,-0.10665392130613327,-0.10953252017498016,0.3897346556186676
2,-0.11293075978755951,-0.10842125862836838,0.3884059190750122
3,-0.11143320798873901,-0.10692460834980011,0.3883296549320221
4,-0.12034507095813751,-0.1077156811952591,0.3885222375392914
5,-0.12551984190940857,-0.10825800895690918,0.39317232370376587
6,-0.13404688239097595,-0.11213073879480362,0.3963008522987366
7,-0.15376925468444824,-0.12470539659261703,0.4236762225627899
8,-0.15772345662117004,-0.12688817083835602,0.4150211215019226
9,-0.15241360664367676,-0.12230603396892548,0.39512404799461365
10,-0.1471678465604782,-0.12555694580078125,0.37780359387397766
11,-0.153243750333786,-0.12238010764122009,0.37686100602149963
12,-0.14931665360927582,-0.11458834260702133,0.3508146405220032
13,-0.15592984855175018,-0.1175539642572403,0.3537224531173706
14,-0.1593218892812729,-0.11641465872526169,0.352308064699173
15,-0.16412095725536346,-0.11602232605218887,0.3511207401752472
16,-0.16488434374332428,-0.11648201942443848,0.348504900932312
17,-0.16811713576316833,-0.11888155341148376,0.34972113370895386
18,-0.18362833559513092,-0.13140124082565308,0.3760438859462738
19,-0.18972833454608917,-0.14240896701812744,0.3885357975959778
20,-0.19673465192317963,-0.15564090013504028,0.39977332949638367
21,-0.2072916328907013,-0.1761157065629959,0.4196058511734009
22,-0.20395269989967346,-0.17827503383159637,0.42094025015830994
23,-0.2035628855228424,-0.179530531167984,0.4201357364654541
24,-0.20593661069869995,-0.18674927949905396,0.43702900409698486
25,-0.2009865790605545,-0.19335778057575226,0.440738320350647
26,-0.19788990914821625,-0.20473459362983704,0.4567812383174896
27,-0.17994406819343567,-0.1937536895275116,0.4304574728012085
28,-0.12656746804714203,-0.1553984135389328,0.3381098508834839
29,-0.12297972291707993,-0.16433069109916687,0.3517293334007263
30,-0.12867508828639984,-0.19290468096733093,0.4030556380748749
31,-0.14920151233673096,-0.24852509796619415,0.5032883286476135
32,-0.12419795244932175,-0.23841944336891174,0.4701625108718872
33,-0.11475171148777008,-0.24082332849502563,0.4644635021686554
34,-0.09693252295255661,-0.23876255750656128,0.44737645983695984
35,-0.07928690314292908,-0.21981504559516907,0.4089626371860504
36,-0.061941176652908325,-0.20896025002002716,0.3833480775356293
37,-0.05501608923077583,-0.20885951817035675,0.3858526647090912
38,-0.04829378426074982,-0.209049254655838,0.3848525583744049
