Frame,X,Y,Z
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.07729166001081467,0.03553902357816696,0.47882500290870667
94,0.07381610572338104,0.02102642133831978,0.4798930883407593
95,0.07381610572338104,0.02102642133831978,0.4798930883407593
96,0.07381610572338104,0.02102642133831978,0.4798930883407593
97,0.07381610572338104,0.02102642133831978,0.4798930883407593
98,0.07381610572338104,0.02102642133831978,0.4798930883407593
99,0.07639819383621216,0.03653610125184059,0.4571439027786255
100,0.07049218565225601,0.0435945987701416,0.4582836627960205
101,0.07551544904708862,0.03611394762992859,0.4518618583679199
102,0.07551544904708862,0.03611394762992859,0.4518618583679199
103,0.07383160293102264,0.041285060346126556,0.4520675539970398
104,0.07383160293102264,0.041285060346126556,0.4520675539970398
105,0.07383160293102264,0.041285060346126556,0.4520675539970398
106,0.07383160293102264,0.041285060346126556,0.4520675539970398
107,0.07259591668844223,0.03594393655657768,0.449734628200531
108,0.07507836073637009,0.035051167011260986,0.44924643635749817
109,0.07564517110586166,0.03661976009607315,0.4475488066673279
110,0.07553748786449432,0.04506077617406845,0.44691169261932373
111,0.07553748786449432,0.04506077617406845,0.44691169261932373
112,0.14547120034694672,0.09900081157684326,0.4375651180744171
113,0.14746463298797607,0.09949418902397156,0.4360828995704651
114,0.14930438995361328,0.10071559995412827,0.4342029392719269
115,0.14843115210533142,0.10068299621343613,0.4340623915195465
116,0.14827099442481995,0.10139835625886917,0.4335940182209015
117,0.14923514425754547,0.10093583166599274,0.4316161870956421
118,0.1484842598438263,0.10098300129175186,0.431817889213562
119,0.14755219221115112,0.10172679275274277,0.4314919710159302
120,0.1480259746313095,0.10148940980434418,0.4304850697517395
121,0.14720755815505981,0.10067110508680344,0.43048417568206787
122,0.1479678601026535,0.10063180327415466,0.43031609058380127
123,0.14656494557857513,0.09997271001338959,0.4310002326965332
124,0.14633695781230927,0.0981815904378891,0.4303297698497772
125,0.14605294167995453,0.09717482328414917,0.42949455976486206
126,0.14435195922851562,0.09712868928909302,0.42929068207740784
127,0.14411793649196625,0.09697123616933823,0.4285947382450104
128,0.14397023618221283,0.09687185287475586,0.42815548181533813
129,0.1431535929441452,0.0968698263168335,0.4281465709209442
130,0.1433066874742508,0.0964253693819046,0.4261821210384369
131,0.1418817788362503,0.09600920975208282,0.4243428111076355
132,0.14140376448631287,0.09568575024604797,0.422913134098053
