Frame,left X,left Y,left Z,left Yaw,left Pitch,left Roll,right X,right Y,right Z,right Yaw,right Pitch,right Roll
1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
82,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
83,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
84,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
85,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
86,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
87,0,0,0,0,0,0,-0.2544828433437747,-0.28581911224146905,0.2935012655862698,-40.47892651643581,-86.08308811501742,173.67227602734593
88,0,0,0,0,0,0,-0.34150998379749886,-0.38562605987782606,0.4016918120763493,174.115998609097,-88.6353981071255,-29.80190697221608
89,0,0,0,0,0,0,-0.24906367459950732,-0.2850107086601666,0.2972774817050383,157.1779063323579,-88.3686774417963,-21.466410447368382
90,0,0,0,0,0,0,-0.24822181642936095,-0.2842990920003237,0.29539365423046426,-109.08092939703276,-88.32247763773893,-71.27670292255836
91,0,0,0,0,0,0,-0.24662721388967299,-0.28413403582522717,0.29633647098747024,-126.56617665978422,-88.21807212656996,-59.25293744183069
92,0,0,0,0,0,0,-0.24707608254438676,-0.2881073964137717,0.2972184811727097,-112.90104163255545,-84.62065613179318,-70.42018555199691
93,0,0,0,0,0,0,-0.24414675634968355,-0.2868050835175732,0.29686145211470044,-110.18447824695328,-85.43850240323383,-73.74214333889833
94,0,0,0,0,0,0,-0.2414555618777847,-0.28622251363566603,0.29581930284859886,-106.99541715015425,-84.6341941511028,-77.32625799628845
