Frame,X,Y,Z
1,-0.0630689337849617,-0.18977677822113037,0.39935484528541565
2,-0.05765685811638832,-0.1914883255958557,0.3935100734233856
3,-0.05401541292667389,-0.19409002363681793,0.39423561096191406
4,-0.052136678248643875,-0.1954769641160965,0.3970527648925781
5,-0.045350514352321625,-0.20004169642925262,0.3971228301525116
6,-0.04646749794483185,-0.19836360216140747,0.39379146695137024
7,-0.04775937274098396,-0.19751359522342682,0.39210402965545654
8,-0.04834238812327385,-0.19387996196746826,0.39079055190086365
9,-0.046730782836675644,-0.19187822937965393,0.38974300026893616
10,-0.0459510013461113,-0.18794776499271393,0.3832394778728485
11,-0.04503430053591728,-0.186440572142601,0.3816457986831665
12,-0.046799540519714355,-0.18265725672245026,0.3783184587955475
13,-0.04884028434753418,-0.18006759881973267,0.37741342186927795
14,-0.0517149418592453,-0.1757771223783493,0.3774454593658447
15,-0.05341126769781113,-0.17375591397285461,0.37929946184158325
16,-0.053833648562431335,-0.1758568435907364,0.3822989761829376
17,-0.058061275631189346,-0.17255264520645142,0.38142192363739014
18,-0.0636143758893013,-0.16971436142921448,0.3799383044242859
19,-0.06608006358146667,-0.16647960245609283,0.3775172531604767
20,-0.0696306824684143,-0.16469156742095947,0.37346261739730835
21,-0.07191655039787292,-0.16131791472434998,0.37060585618019104
22,0.6058483123779297,-0.07750563323497772,0.8684165477752686
22,-0.07352732121944427,-0.16022160649299622,0.3680872619152069
23,0.5887093544006348,-0.0819539800286293,0.8461557626724243
23,-0.07708710432052612,-0.15964730083942413,0.3683769106864929
24,0.5883122682571411,-0.07505770772695541,0.8409886360168457
24,-0.07672859728336334,-0.15751056373119354,0.36666369438171387
25,0.5974643230438232,-0.07601873576641083,0.8517564535140991
25,-0.07665388286113739,-0.1538648158311844,0.35976919531822205
26,0.5623174905776978,-0.06983336806297302,0.7994835376739502
26,-0.08124542236328125,-0.15750384330749512,0.3650324046611786
27,0.5767138004302979,-0.07528059929609299,0.8090171217918396
27,-0.08390988409519196,-0.16000241041183472,0.36758366227149963
28,-0.08804581314325333,-0.16188079118728638,0.3702816665172577
29,-0.09270863980054855,-0.1706894040107727,0.38375452160835266
30,-0.10286091268062592,-0.18121013045310974,0.4005590081214905
31,-0.10364741086959839,-0.18068750202655792,0.3977322280406952
32,-0.10464657843112946,-0.18186597526073456,0.39865782856941223
33,-0.10370494425296783,-0.1809806376695633,0.3950706124305725
34,-0.10358031839132309,-0.1804005354642868,0.3889613151550293
35,-0.10152842104434967,-0.18012376129627228,0.3867790102958679
36,-0.10052686929702759,-0.18038152158260345,0.38575759530067444
37,-0.09954041987657547,-0.18006393313407898,0.38197222352027893
38,-0.09834900498390198,-0.18283036351203918,0.38017407059669495
39,-0.0932857021689415,-0.18213489651679993,0.377236545085907
40,-0.0891527459025383,-0.18241743743419647,0.3719627261161804
41,-0.08847592025995255,-0.1868836134672165,0.37813761830329895
42,-0.08489712327718735,-0.18907590210437775,0.37820854783058167
43,-0.08318660408258438,-0.18989233672618866,0.37697431445121765
44,-0.07785484939813614,-0.19055572152137756,0.3754570186138153
45,-0.07636309415102005,-0.19075405597686768,0.37167081236839294
46,-0.07074564695358276,-0.18244123458862305,0.3541618585586548
47,-0.07019667327404022,-0.19217559695243835,0.36897310614585876
48,-0.07152588665485382,-0.20247894525527954,0.3916144371032715
49,-0.06725229322910309,-0.20231126248836517,0.38843339681625366
50,-0.06355705857276917,-0.19997923076152802,0.3839559555053711
51,-0.055923864245414734,-0.19734369218349457,0.3816823363304138
52,-0.053364627063274384,-0.19862216711044312,0.3841550350189209
53,-0.04880550876259804,-0.197177454829216,0.3827683627605438
54,-0.047777168452739716,-0.1966678649187088,0.3803752362728119
55,-0.04476481303572655,-0.1939801573753357,0.37936198711395264
56,-0.04379010945558548,-0.19461685419082642,0.3834587633609772
57,-0.04359489679336548,-0.19555342197418213,0.3882126808166504
58,-0.04458770900964737,-0.20268355309963226,0.4038918912410736
