Frame,X,Y,Z
13,-0.37905770540237427,-0.07635405659675598,0.536220371723175
14,-0.3468954861164093,-0.05988674983382225,0.5634094476699829
15,-0.3604193329811096,-0.0779133066534996,0.5545704364776611
16,-0.2682703733444214,-0.09642571955919266,0.5077910423278809
17,-0.2813607454299927,-0.11458705365657806,0.5070400834083557
18,-0.2665567696094513,-0.10289021581411362,0.5063685178756714
19,-0.29177096486091614,-0.12339924275875092,0.5240061283111572
20,-0.26749494671821594,-0.13631992042064667,0.5607752203941345
21,-0.27800723910331726,-0.15193919837474823,0.5714327692985535
22,-0.28434816002845764,-0.1513390690088272,0.573272168636322
23,-0.29433879256248474,-0.1487400233745575,0.5844590663909912
24,-0.29572755098342896,-0.17064009606838226,0.5872166752815247
25,-0.3070910573005676,-0.15628087520599365,0.5962831974029541
26,-0.29398638010025024,-0.17427781224250793,0.5881975293159485
27,-0.29713165760040283,-0.16398926079273224,0.5834017395973206
28,-0.28412926197052,-0.16491468250751495,0.5750336050987244
29,-0.28307828307151794,-0.15728992223739624,0.5751180052757263
30,-0.2851313352584839,-0.15721695125102997,0.5748511552810669
31,-0.2827814221382141,-0.15108394622802734,0.5723057389259338
32,-0.28897902369499207,-0.15851637721061707,0.5716596841812134
33,-0.2900536358356476,-0.1519416868686676,0.5673877596855164
34,-0.29727450013160706,-0.15973138809204102,0.5606746077537537
35,-0.28653013706207275,-0.15506958961486816,0.5443112254142761
36,-0.24031594395637512,-0.13415533304214478,0.49395981431007385
37,-0.21448364853858948,-0.12211914360523224,0.4496425688266754
38,-0.21435032784938812,-0.12351918965578079,0.4547975957393646
39,-0.2005092203617096,-0.1150793507695198,0.4237220883369446
39,-0.20350955426692963,-0.11575933545827866,0.423264741897583
40,-0.19990593194961548,-0.11277800053358078,0.4241502285003662
40,-0.19207271933555603,-0.11533106118440628,0.42464888095855713
41,-0.19647780060768127,-0.1118556335568428,0.4237089455127716
41,-0.19409199059009552,-0.1126776859164238,0.423772931098938
42,-0.19429785013198853,-0.11177012324333191,0.429568350315094
